"","Expertos","Capitulos","Animes","Edad","Mujer","CantCaps","Scoremyanimelist","NEscenasCombate","NescenasEmocionantes","CalidadAnimacion","DuracionCapituloMin","RatingTV","Eleccion"
"931.8.3",931,8,3,37,0,148,9.07,10,2,5,57,38,0
"931.8.4",931,8,4,37,0,113,8.04,10,3,8,40,28,1
"931.9.1",931,9,1,37,0,575,8.15,6,5,5,37,14,0
"931.9.2",931,9,2,37,0,720,8.18,9,6,8,54,12,1
"931.9.3",931,9,3,37,0,148,9.07,5,6,6,32,18,0
"931.9.4",931,9,4,37,0,113,8.04,0,5,2,33,23,0
"931.10.1",931,10,1,37,0,575,8.15,5,2,4,41,26,1
"931.10.2",931,10,2,37,0,720,8.18,11,1,3,41,11,0
"931.10.3",931,10,3,37,0,148,9.07,5,1,3,40,18,0
"931.10.4",931,10,4,37,0,113,8.04,0,6,9,49,37,0
"931.11.1",931,11,1,37,0,575,8.15,2,3,4,36,13,0
"931.11.2",931,11,2,37,0,720,8.18,3,3,7,42,10,0
"931.11.3",931,11,3,37,0,148,9.07,10,6,3,57,33,1
"931.11.4",931,11,4,37,0,113,8.04,0,1,9,44,25,0
"931.12.1",931,12,1,37,0,575,8.15,11,5,5,37,7,0
"931.12.2",931,12,2,37,0,720,8.18,8,3,1,43,37,1
"931.12.3",931,12,3,37,0,148,9.07,11,0,7,59,5,0
"931.12.4",931,12,4,37,0,113,8.04,2,0,2,30,38,0
"932.1.1",932,1,1,32,0,575,8.15,1,6,7,37,5,0
"932.1.2",932,1,2,32,0,720,8.18,3,2,7,35,31,1
"932.1.3",932,1,3,32,0,148,9.07,14,3,8,57,36,0
"932.1.4",932,1,4,32,0,113,8.04,2,3,3,57,17,0
"932.2.1",932,2,1,32,0,575,8.15,8,0,2,50,30,0
"932.2.2",932,2,2,32,0,720,8.18,4,3,4,42,19,0
"932.2.3",932,2,3,32,0,148,9.07,2,5,3,46,35,1
"932.2.4",932,2,4,32,0,113,8.04,12,1,5,38,17,0
"932.3.1",932,3,1,32,0,575,8.15,10,5,3,54,34,1
"932.3.2",932,3,2,32,0,720,8.18,10,2,7,42,11,0
"932.3.3",932,3,3,32,0,148,9.07,8,4,9,46,6,0
"932.3.4",932,3,4,32,0,113,8.04,3,2,2,42,8,0
"932.4.1",932,4,1,32,0,575,8.15,14,4,2,43,22,0
"932.4.2",932,4,2,32,0,720,8.18,14,3,2,37,24,0
"932.4.3",932,4,3,32,0,148,9.07,10,2,8,43,37,1
"932.4.4",932,4,4,32,0,113,8.04,10,0,8,43,6,0
"932.5.1",932,5,1,32,0,575,8.15,7,6,4,49,8,0
"932.5.2",932,5,2,32,0,720,8.18,9,4,2,56,17,0
"932.5.3",932,5,3,32,0,148,9.07,14,4,5,30,27,0
"932.5.4",932,5,4,32,0,113,8.04,12,2,7,55,16,1
"932.6.1",932,6,1,32,0,575,8.15,3,4,4,34,22,1
"932.6.2",932,6,2,32,0,720,8.18,0,1,8,51,18,0
"932.6.3",932,6,3,32,0,148,9.07,12,1,7,35,15,0
"932.6.4",932,6,4,32,0,113,8.04,12,3,8,47,29,0
"932.7.1",932,7,1,32,0,575,8.15,5,6,4,32,34,1
"932.7.2",932,7,2,32,0,720,8.18,5,2,4,42,22,0
"932.7.3",932,7,3,32,0,148,9.07,2,3,1,34,6,0
"932.7.4",932,7,4,32,0,113,8.04,9,3,8,51,5,0
"932.8.1",932,8,1,32,0,575,8.15,4,6,4,54,6,0
"932.8.2",932,8,2,32,0,720,8.18,8,5,2,34,5,0
"932.8.3",932,8,3,32,0,148,9.07,10,2,5,57,38,0
"932.8.4",932,8,4,32,0,113,8.04,10,3,8,40,28,1
"932.9.1",932,9,1,32,0,575,8.15,6,5,5,37,14,0
"932.9.2",932,9,2,32,0,720,8.18,9,6,8,54,12,1
"932.9.3",932,9,3,32,0,148,9.07,5,6,6,32,18,0
"932.9.4",932,9,4,32,0,113,8.04,0,5,2,33,23,0
"932.10.1",932,10,1,32,0,575,8.15,5,2,4,41,26,1
"932.10.2",932,10,2,32,0,720,8.18,11,1,3,41,11,0
"932.10.3",932,10,3,32,0,148,9.07,5,1,3,40,18,0
"932.10.4",932,10,4,32,0,113,8.04,0,6,9,49,37,0
"932.11.1",932,11,1,32,0,575,8.15,2,3,4,36,13,0
"932.11.2",932,11,2,32,0,720,8.18,3,3,7,42,10,0
"932.11.3",932,11,3,32,0,148,9.07,10,6,3,57,33,1
"932.11.4",932,11,4,32,0,113,8.04,0,1,9,44,25,0
"932.12.1",932,12,1,32,0,575,8.15,11,5,5,37,7,0
"932.12.2",932,12,2,32,0,720,8.18,8,3,1,43,37,1
"932.12.3",932,12,3,32,0,148,9.07,11,0,7,59,5,0
"932.12.4",932,12,4,32,0,113,8.04,2,0,2,30,38,0
"933.1.1",933,1,1,30,1,575,8.15,1,6,7,37,5,0
"933.1.2",933,1,2,30,1,720,8.18,3,2,7,35,31,1
"933.1.3",933,1,3,30,1,148,9.07,14,3,8,57,36,0
"933.1.4",933,1,4,30,1,113,8.04,2,3,3,57,17,0
"933.2.1",933,2,1,30,1,575,8.15,8,0,2,50,30,0
"933.2.2",933,2,2,30,1,720,8.18,4,3,4,42,19,0
"933.2.3",933,2,3,30,1,148,9.07,2,5,3,46,35,1
"933.2.4",933,2,4,30,1,113,8.04,12,1,5,38,17,0
"933.3.1",933,3,1,30,1,575,8.15,10,5,3,54,34,1
"933.3.2",933,3,2,30,1,720,8.18,10,2,7,42,11,0
"933.3.3",933,3,3,30,1,148,9.07,8,4,9,46,6,0
"933.3.4",933,3,4,30,1,113,8.04,3,2,2,42,8,0
"933.4.1",933,4,1,30,1,575,8.15,14,4,2,43,22,0
"933.4.2",933,4,2,30,1,720,8.18,14,3,2,37,24,0
"933.4.3",933,4,3,30,1,148,9.07,10,2,8,43,37,1
"933.4.4",933,4,4,30,1,113,8.04,10,0,8,43,6,0
"933.5.1",933,5,1,30,1,575,8.15,7,6,4,49,8,0
"933.5.2",933,5,2,30,1,720,8.18,9,4,2,56,17,0
"933.5.3",933,5,3,30,1,148,9.07,14,4,5,30,27,0
"933.5.4",933,5,4,30,1,113,8.04,12,2,7,55,16,1
"933.6.1",933,6,1,30,1,575,8.15,3,4,4,34,22,1
"933.6.2",933,6,2,30,1,720,8.18,0,1,8,51,18,0
"933.6.3",933,6,3,30,1,148,9.07,12,1,7,35,15,0
"933.6.4",933,6,4,30,1,113,8.04,12,3,8,47,29,0
"933.7.1",933,7,1,30,1,575,8.15,5,6,4,32,34,1
"933.7.2",933,7,2,30,1,720,8.18,5,2,4,42,22,0
"933.7.3",933,7,3,30,1,148,9.07,2,3,1,34,6,0
"933.7.4",933,7,4,30,1,113,8.04,9,3,8,51,5,0
"933.8.1",933,8,1,30,1,575,8.15,4,6,4,54,6,0
"933.8.2",933,8,2,30,1,720,8.18,8,5,2,34,5,0
"933.8.3",933,8,3,30,1,148,9.07,10,2,5,57,38,0
"933.8.4",933,8,4,30,1,113,8.04,10,3,8,40,28,1
"933.9.1",933,9,1,30,1,575,8.15,6,5,5,37,14,0
"933.9.2",933,9,2,30,1,720,8.18,9,6,8,54,12,1
"933.9.3",933,9,3,30,1,148,9.07,5,6,6,32,18,0
"933.9.4",933,9,4,30,1,113,8.04,0,5,2,33,23,0
"933.10.1",933,10,1,30,1,575,8.15,5,2,4,41,26,1
"933.10.2",933,10,2,30,1,720,8.18,11,1,3,41,11,0
"933.10.3",933,10,3,30,1,148,9.07,5,1,3,40,18,0
"933.10.4",933,10,4,30,1,113,8.04,0,6,9,49,37,0
"933.11.1",933,11,1,30,1,575,8.15,2,3,4,36,13,0
"933.11.2",933,11,2,30,1,720,8.18,3,3,7,42,10,0
"933.11.3",933,11,3,30,1,148,9.07,10,6,3,57,33,1
"933.11.4",933,11,4,30,1,113,8.04,0,1,9,44,25,0
"933.12.1",933,12,1,30,1,575,8.15,11,5,5,37,7,0
"933.12.2",933,12,2,30,1,720,8.18,8,3,1,43,37,1
"933.12.3",933,12,3,30,1,148,9.07,11,0,7,59,5,0
"933.12.4",933,12,4,30,1,113,8.04,2,0,2,30,38,0
"934.1.1",934,1,1,42,0,575,8.15,1,6,7,37,5,0
"934.1.2",934,1,2,42,0,720,8.18,3,2,7,35,31,1
"934.1.3",934,1,3,42,0,148,9.07,14,3,8,57,36,0
"934.1.4",934,1,4,42,0,113,8.04,2,3,3,57,17,0
"934.2.1",934,2,1,42,0,575,8.15,8,0,2,50,30,0
"934.2.2",934,2,2,42,0,720,8.18,4,3,4,42,19,0
"934.2.3",934,2,3,42,0,148,9.07,2,5,3,46,35,1
"934.2.4",934,2,4,42,0,113,8.04,12,1,5,38,17,0
"934.3.1",934,3,1,42,0,575,8.15,10,5,3,54,34,1
"934.3.2",934,3,2,42,0,720,8.18,10,2,7,42,11,0
"934.3.3",934,3,3,42,0,148,9.07,8,4,9,46,6,0
"934.3.4",934,3,4,42,0,113,8.04,3,2,2,42,8,0
"934.4.1",934,4,1,42,0,575,8.15,14,4,2,43,22,0
"934.4.2",934,4,2,42,0,720,8.18,14,3,2,37,24,0
"934.4.3",934,4,3,42,0,148,9.07,10,2,8,43,37,1
"934.4.4",934,4,4,42,0,113,8.04,10,0,8,43,6,0
"934.5.1",934,5,1,42,0,575,8.15,7,6,4,49,8,0
"934.5.2",934,5,2,42,0,720,8.18,9,4,2,56,17,0
"934.5.3",934,5,3,42,0,148,9.07,14,4,5,30,27,0
"934.5.4",934,5,4,42,0,113,8.04,12,2,7,55,16,1
"934.6.1",934,6,1,42,0,575,8.15,3,4,4,34,22,1
"934.6.2",934,6,2,42,0,720,8.18,0,1,8,51,18,0
"934.6.3",934,6,3,42,0,148,9.07,12,1,7,35,15,0
"934.6.4",934,6,4,42,0,113,8.04,12,3,8,47,29,0
"934.7.1",934,7,1,42,0,575,8.15,5,6,4,32,34,1
"934.7.2",934,7,2,42,0,720,8.18,5,2,4,42,22,0
"934.7.3",934,7,3,42,0,148,9.07,2,3,1,34,6,0
"934.7.4",934,7,4,42,0,113,8.04,9,3,8,51,5,0
"934.8.1",934,8,1,42,0,575,8.15,4,6,4,54,6,0
"934.8.2",934,8,2,42,0,720,8.18,8,5,2,34,5,0
"934.8.3",934,8,3,42,0,148,9.07,10,2,5,57,38,0
"934.8.4",934,8,4,42,0,113,8.04,10,3,8,40,28,1
"934.9.1",934,9,1,42,0,575,8.15,6,5,5,37,14,0
"934.9.2",934,9,2,42,0,720,8.18,9,6,8,54,12,1
"934.9.3",934,9,3,42,0,148,9.07,5,6,6,32,18,0
"934.9.4",934,9,4,42,0,113,8.04,0,5,2,33,23,0
"934.10.1",934,10,1,42,0,575,8.15,5,2,4,41,26,1
"934.10.2",934,10,2,42,0,720,8.18,11,1,3,41,11,0
"934.10.3",934,10,3,42,0,148,9.07,5,1,3,40,18,0
"934.10.4",934,10,4,42,0,113,8.04,0,6,9,49,37,0
"934.11.1",934,11,1,42,0,575,8.15,2,3,4,36,13,0
"934.11.2",934,11,2,42,0,720,8.18,3,3,7,42,10,0
"934.11.3",934,11,3,42,0,148,9.07,10,6,3,57,33,1
"934.11.4",934,11,4,42,0,113,8.04,0,1,9,44,25,0
"934.12.1",934,12,1,42,0,575,8.15,11,5,5,37,7,0
"934.12.2",934,12,2,42,0,720,8.18,8,3,1,43,37,1
"934.12.3",934,12,3,42,0,148,9.07,11,0,7,59,5,0
"934.12.4",934,12,4,42,0,113,8.04,2,0,2,30,38,0
"935.1.1",935,1,1,29,1,575,8.15,1,6,7,37,5,0
"935.1.2",935,1,2,29,1,720,8.18,3,2,7,35,31,1
"935.1.3",935,1,3,29,1,148,9.07,14,3,8,57,36,0
"935.1.4",935,1,4,29,1,113,8.04,2,3,3,57,17,0
"935.2.1",935,2,1,29,1,575,8.15,8,0,2,50,30,0
"935.2.2",935,2,2,29,1,720,8.18,4,3,4,42,19,0
"935.2.3",935,2,3,29,1,148,9.07,2,5,3,46,35,1
"935.2.4",935,2,4,29,1,113,8.04,12,1,5,38,17,0
"935.3.1",935,3,1,29,1,575,8.15,10,5,3,54,34,1
"935.3.2",935,3,2,29,1,720,8.18,10,2,7,42,11,0
"935.3.3",935,3,3,29,1,148,9.07,8,4,9,46,6,0
"935.3.4",935,3,4,29,1,113,8.04,3,2,2,42,8,0
"935.4.1",935,4,1,29,1,575,8.15,14,4,2,43,22,0
"935.4.2",935,4,2,29,1,720,8.18,14,3,2,37,24,0
"935.4.3",935,4,3,29,1,148,9.07,10,2,8,43,37,1
"935.4.4",935,4,4,29,1,113,8.04,10,0,8,43,6,0
"935.5.1",935,5,1,29,1,575,8.15,7,6,4,49,8,0
"935.5.2",935,5,2,29,1,720,8.18,9,4,2,56,17,0
"935.5.3",935,5,3,29,1,148,9.07,14,4,5,30,27,0
"935.5.4",935,5,4,29,1,113,8.04,12,2,7,55,16,1
"935.6.1",935,6,1,29,1,575,8.15,3,4,4,34,22,1
"935.6.2",935,6,2,29,1,720,8.18,0,1,8,51,18,0
"935.6.3",935,6,3,29,1,148,9.07,12,1,7,35,15,0
"935.6.4",935,6,4,29,1,113,8.04,12,3,8,47,29,0
"935.7.1",935,7,1,29,1,575,8.15,5,6,4,32,34,1
"935.7.2",935,7,2,29,1,720,8.18,5,2,4,42,22,0
"935.7.3",935,7,3,29,1,148,9.07,2,3,1,34,6,0
"935.7.4",935,7,4,29,1,113,8.04,9,3,8,51,5,0
"935.8.1",935,8,1,29,1,575,8.15,4,6,4,54,6,0
"935.8.2",935,8,2,29,1,720,8.18,8,5,2,34,5,0
"935.8.3",935,8,3,29,1,148,9.07,10,2,5,57,38,0
"935.8.4",935,8,4,29,1,113,8.04,10,3,8,40,28,1
"935.9.1",935,9,1,29,1,575,8.15,6,5,5,37,14,0
"935.9.2",935,9,2,29,1,720,8.18,9,6,8,54,12,1
"935.9.3",935,9,3,29,1,148,9.07,5,6,6,32,18,0
"935.9.4",935,9,4,29,1,113,8.04,0,5,2,33,23,0
"935.10.1",935,10,1,29,1,575,8.15,5,2,4,41,26,1
"935.10.2",935,10,2,29,1,720,8.18,11,1,3,41,11,0
"935.10.3",935,10,3,29,1,148,9.07,5,1,3,40,18,0
"935.10.4",935,10,4,29,1,113,8.04,0,6,9,49,37,0
"935.11.1",935,11,1,29,1,575,8.15,2,3,4,36,13,0
"935.11.2",935,11,2,29,1,720,8.18,3,3,7,42,10,0
"935.11.3",935,11,3,29,1,148,9.07,10,6,3,57,33,1
"935.11.4",935,11,4,29,1,113,8.04,0,1,9,44,25,0
"935.12.1",935,12,1,29,1,575,8.15,11,5,5,37,7,0
"935.12.2",935,12,2,29,1,720,8.18,8,3,1,43,37,1
"935.12.3",935,12,3,29,1,148,9.07,11,0,7,59,5,0
"935.12.4",935,12,4,29,1,113,8.04,2,0,2,30,38,0
"936.1.1",936,1,1,25,0,575,8.15,1,6,7,37,5,0
"936.1.2",936,1,2,25,0,720,8.18,3,2,7,35,31,1
"936.1.3",936,1,3,25,0,148,9.07,14,3,8,57,36,0
"936.1.4",936,1,4,25,0,113,8.04,2,3,3,57,17,0
"936.2.1",936,2,1,25,0,575,8.15,8,0,2,50,30,0
"936.2.2",936,2,2,25,0,720,8.18,4,3,4,42,19,0
"936.2.3",936,2,3,25,0,148,9.07,2,5,3,46,35,1
"936.2.4",936,2,4,25,0,113,8.04,12,1,5,38,17,0
"936.3.1",936,3,1,25,0,575,8.15,10,5,3,54,34,1
"936.3.2",936,3,2,25,0,720,8.18,10,2,7,42,11,0
"936.3.3",936,3,3,25,0,148,9.07,8,4,9,46,6,0
"936.3.4",936,3,4,25,0,113,8.04,3,2,2,42,8,0
"936.4.1",936,4,1,25,0,575,8.15,14,4,2,43,22,0
"936.4.2",936,4,2,25,0,720,8.18,14,3,2,37,24,0
"936.4.3",936,4,3,25,0,148,9.07,10,2,8,43,37,1
"936.4.4",936,4,4,25,0,113,8.04,10,0,8,43,6,0
"936.5.1",936,5,1,25,0,575,8.15,7,6,4,49,8,0
"936.5.2",936,5,2,25,0,720,8.18,9,4,2,56,17,0
"936.5.3",936,5,3,25,0,148,9.07,14,4,5,30,27,0
"936.5.4",936,5,4,25,0,113,8.04,12,2,7,55,16,1
"936.6.1",936,6,1,25,0,575,8.15,3,4,4,34,22,1
"936.6.2",936,6,2,25,0,720,8.18,0,1,8,51,18,0
"936.6.3",936,6,3,25,0,148,9.07,12,1,7,35,15,0
"936.6.4",936,6,4,25,0,113,8.04,12,3,8,47,29,0
"936.7.1",936,7,1,25,0,575,8.15,5,6,4,32,34,1
"936.7.2",936,7,2,25,0,720,8.18,5,2,4,42,22,0
"936.7.3",936,7,3,25,0,148,9.07,2,3,1,34,6,0
"936.7.4",936,7,4,25,0,113,8.04,9,3,8,51,5,0
"936.8.1",936,8,1,25,0,575,8.15,4,6,4,54,6,0
"936.8.2",936,8,2,25,0,720,8.18,8,5,2,34,5,0
"936.8.3",936,8,3,25,0,148,9.07,10,2,5,57,38,0
"936.8.4",936,8,4,25,0,113,8.04,10,3,8,40,28,1
"936.9.1",936,9,1,25,0,575,8.15,6,5,5,37,14,0
"936.9.2",936,9,2,25,0,720,8.18,9,6,8,54,12,1
"936.9.3",936,9,3,25,0,148,9.07,5,6,6,32,18,0
"936.9.4",936,9,4,25,0,113,8.04,0,5,2,33,23,0
"936.10.1",936,10,1,25,0,575,8.15,5,2,4,41,26,1
"936.10.2",936,10,2,25,0,720,8.18,11,1,3,41,11,0
"936.10.3",936,10,3,25,0,148,9.07,5,1,3,40,18,0
"936.10.4",936,10,4,25,0,113,8.04,0,6,9,49,37,0
"936.11.1",936,11,1,25,0,575,8.15,2,3,4,36,13,0
"936.11.2",936,11,2,25,0,720,8.18,3,3,7,42,10,0
"936.11.3",936,11,3,25,0,148,9.07,10,6,3,57,33,1
"936.11.4",936,11,4,25,0,113,8.04,0,1,9,44,25,0
"936.12.1",936,12,1,25,0,575,8.15,11,5,5,37,7,0
"936.12.2",936,12,2,25,0,720,8.18,8,3,1,43,37,1
"936.12.3",936,12,3,25,0,148,9.07,11,0,7,59,5,0
"936.12.4",936,12,4,25,0,113,8.04,2,0,2,30,38,0
"937.1.1",937,1,1,36,1,575,8.15,1,6,7,37,5,0
"937.1.2",937,1,2,36,1,720,8.18,3,2,7,35,31,1
"937.1.3",937,1,3,36,1,148,9.07,14,3,8,57,36,0
"937.1.4",937,1,4,36,1,113,8.04,2,3,3,57,17,0
"937.2.1",937,2,1,36,1,575,8.15,8,0,2,50,30,0
"937.2.2",937,2,2,36,1,720,8.18,4,3,4,42,19,0
"937.2.3",937,2,3,36,1,148,9.07,2,5,3,46,35,1
"937.2.4",937,2,4,36,1,113,8.04,12,1,5,38,17,0
"937.3.1",937,3,1,36,1,575,8.15,10,5,3,54,34,1
"937.3.2",937,3,2,36,1,720,8.18,10,2,7,42,11,0
"937.3.3",937,3,3,36,1,148,9.07,8,4,9,46,6,0
"937.3.4",937,3,4,36,1,113,8.04,3,2,2,42,8,0
"937.4.1",937,4,1,36,1,575,8.15,14,4,2,43,22,0
"937.4.2",937,4,2,36,1,720,8.18,14,3,2,37,24,0
"937.4.3",937,4,3,36,1,148,9.07,10,2,8,43,37,1
"937.4.4",937,4,4,36,1,113,8.04,10,0,8,43,6,0
"937.5.1",937,5,1,36,1,575,8.15,7,6,4,49,8,0
"937.5.2",937,5,2,36,1,720,8.18,9,4,2,56,17,0
"937.5.3",937,5,3,36,1,148,9.07,14,4,5,30,27,0
"937.5.4",937,5,4,36,1,113,8.04,12,2,7,55,16,1
"937.6.1",937,6,1,36,1,575,8.15,3,4,4,34,22,1
"937.6.2",937,6,2,36,1,720,8.18,0,1,8,51,18,0
"937.6.3",937,6,3,36,1,148,9.07,12,1,7,35,15,0
"937.6.4",937,6,4,36,1,113,8.04,12,3,8,47,29,0
"937.7.1",937,7,1,36,1,575,8.15,5,6,4,32,34,1
"937.7.2",937,7,2,36,1,720,8.18,5,2,4,42,22,0
"937.7.3",937,7,3,36,1,148,9.07,2,3,1,34,6,0
"937.7.4",937,7,4,36,1,113,8.04,9,3,8,51,5,0
"937.8.1",937,8,1,36,1,575,8.15,4,6,4,54,6,0
"937.8.2",937,8,2,36,1,720,8.18,8,5,2,34,5,0
"937.8.3",937,8,3,36,1,148,9.07,10,2,5,57,38,0
"937.8.4",937,8,4,36,1,113,8.04,10,3,8,40,28,1
"937.9.1",937,9,1,36,1,575,8.15,6,5,5,37,14,0
"937.9.2",937,9,2,36,1,720,8.18,9,6,8,54,12,1
"937.9.3",937,9,3,36,1,148,9.07,5,6,6,32,18,0
"937.9.4",937,9,4,36,1,113,8.04,0,5,2,33,23,0
"937.10.1",937,10,1,36,1,575,8.15,5,2,4,41,26,1
"937.10.2",937,10,2,36,1,720,8.18,11,1,3,41,11,0
"937.10.3",937,10,3,36,1,148,9.07,5,1,3,40,18,0
"937.10.4",937,10,4,36,1,113,8.04,0,6,9,49,37,0
"937.11.1",937,11,1,36,1,575,8.15,2,3,4,36,13,0
"937.11.2",937,11,2,36,1,720,8.18,3,3,7,42,10,0
"937.11.3",937,11,3,36,1,148,9.07,10,6,3,57,33,1
"937.11.4",937,11,4,36,1,113,8.04,0,1,9,44,25,0
"937.12.1",937,12,1,36,1,575,8.15,11,5,5,37,7,0
"937.12.2",937,12,2,36,1,720,8.18,8,3,1,43,37,1
"937.12.3",937,12,3,36,1,148,9.07,11,0,7,59,5,0
"937.12.4",937,12,4,36,1,113,8.04,2,0,2,30,38,0
"938.1.1",938,1,1,39,1,575,8.15,1,6,7,37,5,0
"938.1.2",938,1,2,39,1,720,8.18,3,2,7,35,31,1
"938.1.3",938,1,3,39,1,148,9.07,14,3,8,57,36,0
"938.1.4",938,1,4,39,1,113,8.04,2,3,3,57,17,0
"938.2.1",938,2,1,39,1,575,8.15,8,0,2,50,30,0
"938.2.2",938,2,2,39,1,720,8.18,4,3,4,42,19,0
"938.2.3",938,2,3,39,1,148,9.07,2,5,3,46,35,1
"938.2.4",938,2,4,39,1,113,8.04,12,1,5,38,17,0
"938.3.1",938,3,1,39,1,575,8.15,10,5,3,54,34,1
"938.3.2",938,3,2,39,1,720,8.18,10,2,7,42,11,0
"938.3.3",938,3,3,39,1,148,9.07,8,4,9,46,6,0
"938.3.4",938,3,4,39,1,113,8.04,3,2,2,42,8,0
"938.4.1",938,4,1,39,1,575,8.15,14,4,2,43,22,0
"938.4.2",938,4,2,39,1,720,8.18,14,3,2,37,24,0
"938.4.3",938,4,3,39,1,148,9.07,10,2,8,43,37,1
"938.4.4",938,4,4,39,1,113,8.04,10,0,8,43,6,0
"938.5.1",938,5,1,39,1,575,8.15,7,6,4,49,8,0
"938.5.2",938,5,2,39,1,720,8.18,9,4,2,56,17,0
"938.5.3",938,5,3,39,1,148,9.07,14,4,5,30,27,0
"938.5.4",938,5,4,39,1,113,8.04,12,2,7,55,16,1
"938.6.1",938,6,1,39,1,575,8.15,3,4,4,34,22,1
"938.6.2",938,6,2,39,1,720,8.18,0,1,8,51,18,0
"938.6.3",938,6,3,39,1,148,9.07,12,1,7,35,15,0
"938.6.4",938,6,4,39,1,113,8.04,12,3,8,47,29,0
"938.7.1",938,7,1,39,1,575,8.15,5,6,4,32,34,1
"938.7.2",938,7,2,39,1,720,8.18,5,2,4,42,22,0
"938.7.3",938,7,3,39,1,148,9.07,2,3,1,34,6,0
"938.7.4",938,7,4,39,1,113,8.04,9,3,8,51,5,0
"938.8.1",938,8,1,39,1,575,8.15,4,6,4,54,6,0
"938.8.2",938,8,2,39,1,720,8.18,8,5,2,34,5,0
"938.8.3",938,8,3,39,1,148,9.07,10,2,5,57,38,0
"938.8.4",938,8,4,39,1,113,8.04,10,3,8,40,28,1
"938.9.1",938,9,1,39,1,575,8.15,6,5,5,37,14,0
"938.9.2",938,9,2,39,1,720,8.18,9,6,8,54,12,1
"938.9.3",938,9,3,39,1,148,9.07,5,6,6,32,18,0
"938.9.4",938,9,4,39,1,113,8.04,0,5,2,33,23,0
"938.10.1",938,10,1,39,1,575,8.15,5,2,4,41,26,1
"938.10.2",938,10,2,39,1,720,8.18,11,1,3,41,11,0
"938.10.3",938,10,3,39,1,148,9.07,5,1,3,40,18,0
"938.10.4",938,10,4,39,1,113,8.04,0,6,9,49,37,0
"938.11.1",938,11,1,39,1,575,8.15,2,3,4,36,13,0
"938.11.2",938,11,2,39,1,720,8.18,3,3,7,42,10,0
"938.11.3",938,11,3,39,1,148,9.07,10,6,3,57,33,1
"938.11.4",938,11,4,39,1,113,8.04,0,1,9,44,25,0
"938.12.1",938,12,1,39,1,575,8.15,11,5,5,37,7,0
"938.12.2",938,12,2,39,1,720,8.18,8,3,1,43,37,1
"938.12.3",938,12,3,39,1,148,9.07,11,0,7,59,5,0
"938.12.4",938,12,4,39,1,113,8.04,2,0,2,30,38,0
"939.1.1",939,1,1,49,0,575,8.15,1,6,7,37,5,0
"939.1.2",939,1,2,49,0,720,8.18,3,2,7,35,31,1
"939.1.3",939,1,3,49,0,148,9.07,14,3,8,57,36,0
"939.1.4",939,1,4,49,0,113,8.04,2,3,3,57,17,0
"939.2.1",939,2,1,49,0,575,8.15,8,0,2,50,30,0
"939.2.2",939,2,2,49,0,720,8.18,4,3,4,42,19,0
"939.2.3",939,2,3,49,0,148,9.07,2,5,3,46,35,1
"939.2.4",939,2,4,49,0,113,8.04,12,1,5,38,17,0
"939.3.1",939,3,1,49,0,575,8.15,10,5,3,54,34,1
"939.3.2",939,3,2,49,0,720,8.18,10,2,7,42,11,0
"939.3.3",939,3,3,49,0,148,9.07,8,4,9,46,6,0
"939.3.4",939,3,4,49,0,113,8.04,3,2,2,42,8,0
"939.4.1",939,4,1,49,0,575,8.15,14,4,2,43,22,0
"939.4.2",939,4,2,49,0,720,8.18,14,3,2,37,24,0
"939.4.3",939,4,3,49,0,148,9.07,10,2,8,43,37,1
"939.4.4",939,4,4,49,0,113,8.04,10,0,8,43,6,0
"939.5.1",939,5,1,49,0,575,8.15,7,6,4,49,8,0
"939.5.2",939,5,2,49,0,720,8.18,9,4,2,56,17,0
"939.5.3",939,5,3,49,0,148,9.07,14,4,5,30,27,0
"939.5.4",939,5,4,49,0,113,8.04,12,2,7,55,16,1
"939.6.1",939,6,1,49,0,575,8.15,3,4,4,34,22,1
"939.6.2",939,6,2,49,0,720,8.18,0,1,8,51,18,0
"939.6.3",939,6,3,49,0,148,9.07,12,1,7,35,15,0
"939.6.4",939,6,4,49,0,113,8.04,12,3,8,47,29,0
"939.7.1",939,7,1,49,0,575,8.15,5,6,4,32,34,1
"939.7.2",939,7,2,49,0,720,8.18,5,2,4,42,22,0
"939.7.3",939,7,3,49,0,148,9.07,2,3,1,34,6,0
"939.7.4",939,7,4,49,0,113,8.04,9,3,8,51,5,0
"939.8.1",939,8,1,49,0,575,8.15,4,6,4,54,6,0
"939.8.2",939,8,2,49,0,720,8.18,8,5,2,34,5,0
"939.8.3",939,8,3,49,0,148,9.07,10,2,5,57,38,0
"939.8.4",939,8,4,49,0,113,8.04,10,3,8,40,28,1
"939.9.1",939,9,1,49,0,575,8.15,6,5,5,37,14,0
"939.9.2",939,9,2,49,0,720,8.18,9,6,8,54,12,1
"939.9.3",939,9,3,49,0,148,9.07,5,6,6,32,18,0
"939.9.4",939,9,4,49,0,113,8.04,0,5,2,33,23,0
"939.10.1",939,10,1,49,0,575,8.15,5,2,4,41,26,1
"939.10.2",939,10,2,49,0,720,8.18,11,1,3,41,11,0
"939.10.3",939,10,3,49,0,148,9.07,5,1,3,40,18,0
"939.10.4",939,10,4,49,0,113,8.04,0,6,9,49,37,0
"939.11.1",939,11,1,49,0,575,8.15,2,3,4,36,13,0
"939.11.2",939,11,2,49,0,720,8.18,3,3,7,42,10,0
"939.11.3",939,11,3,49,0,148,9.07,10,6,3,57,33,1
